FORMULA_NO,BREAKER_LIFE_TYPE_ID,LIFE_TIME,REMARK
V=1000&T=E&M=O,L001,NA,Electrical w/o maintenance（不带维护电寿命） @ =1000V
V=1000&T=E&M=O,L002,NA,Electrical w/o maintenance（不带维护电寿命） @ =1000V
V=1000&T=E&M=O,L003,2000,Electrical w/o maintenance（不带维护电寿命） @ =1000V
V=1000&T=E&M=O,L004,NA,Electrical w/o maintenance（不带维护电寿命） @ =1000V
V=1000&T=E&M=O,L005,NA,Electrical w/o maintenance（不带维护电寿命） @ =1000V
V=1000&T=E&M=O,L006,2000,Electrical w/o maintenance（不带维护电寿命） @ =1000V
V=1000&T=E&M=O,L007,NA,Electrical w/o maintenance（不带维护电寿命） @ =1000V
V=1000&T=E&M=O,L008,1000,Electrical w/o maintenance（不带维护电寿命） @ =1000V
V=1000&T=E&M=O,L009,NA,Electrical w/o maintenance（不带维护电寿命） @ =1000V
V=1000&T=E&M=O,L010,1000,Electrical w/o maintenance（不带维护电寿命） @ =1000V
V=1000&T=E&M=O,L011,NA,Electrical w/o maintenance（不带维护电寿命） @ =1000V
V=1000&T=E&M=O,L012,1000,Electrical w/o maintenance（不带维护电寿命） @ =1000V
V=1000&T=E&M=O,T001,NA,Electrical w/o maintenance（不带维护电寿命） @ =1000V
V=1000&T=E&M=O,T002,NA,Electrical w/o maintenance（不带维护电寿命） @ =1000V
V=1000&T=E&M=O,T003,NA,Electrical w/o maintenance（不带维护电寿命） @ =1000V
V=1000&T=E&M=O,T004,NA,Electrical w/o maintenance（不带维护电寿命） @ =1000V
V=1000&T=E&M=W,L001,NA,Electrical with maintenance（带维护电寿命） @ =1000V
V=1000&T=E&M=W,L002,NA,Electrical with maintenance（带维护电寿命） @ =1000V
V=1000&T=E&M=W,L003,15000,Electrical with maintenance（带维护电寿命） @ =1000V
V=1000&T=E&M=W,L004,NA,Electrical with maintenance（带维护电寿命） @ =1000V
V=1000&T=E&M=W,L005,NA,Electrical with maintenance（带维护电寿命） @ =1000V
V=1000&T=E&M=W,L006,15000,Electrical with maintenance（带维护电寿命） @ =1000V
V=1000&T=E&M=W,L007,NA,Electrical with maintenance（带维护电寿命） @ =1000V
V=1000&T=E&M=W,L008,15000,Electrical with maintenance（带维护电寿命） @ =1000V
V=1000&T=E&M=W,L009,NA,Electrical with maintenance（带维护电寿命） @ =1000V
V=1000&T=E&M=W,L010,15000,Electrical with maintenance（带维护电寿命） @ =1000V
V=1000&T=E&M=W,L011,NA,Electrical with maintenance（带维护电寿命） @ =1000V
V=1000&T=E&M=W,L012,10000,Electrical with maintenance（带维护电寿命） @ =1000V
V=1000&T=E&M=W,T001,NA,Electrical with maintenance（带维护电寿命） @ =1000V
V=1000&T=E&M=W,T002,NA,Electrical with maintenance（带维护电寿命） @ =1000V
V=1000&T=E&M=W,T003,NA,Electrical with maintenance（带维护电寿命） @ =1000V
V=1000&T=E&M=W,T004,NA,Electrical with maintenance（带维护电寿命） @ =1000V
V=1150&T=E&M=O,L001,NA,Electrical w/o maintenance（不带维护电寿命） @ =1150V
V=1150&T=E&M=O,L002,NA,Electrical w/o maintenance（不带维护电寿命） @ =1150V
V=1150&T=E&M=O,L003,2000,Electrical w/o maintenance（不带维护电寿命） @ =1150V
V=1150&T=E&M=O,L004,NA,Electrical w/o maintenance（不带维护电寿命） @ =1150V
V=1150&T=E&M=O,L005,NA,Electrical w/o maintenance（不带维护电寿命） @ =1150V
V=1150&T=E&M=O,L006,2000,Electrical w/o maintenance（不带维护电寿命） @ =1150V
V=1150&T=E&M=O,L007,NA,Electrical w/o maintenance（不带维护电寿命） @ =1150V
V=1150&T=E&M=O,L008,500,Electrical w/o maintenance（不带维护电寿命） @ =1150V
V=1150&T=E&M=O,L009,NA,Electrical w/o maintenance（不带维护电寿命） @ =1150V
V=1150&T=E&M=O,L010,500,Electrical w/o maintenance（不带维护电寿命） @ =1150V
V=1150&T=E&M=O,L011,NA,Electrical w/o maintenance（不带维护电寿命） @ =1150V
V=1150&T=E&M=O,L012,1000,Electrical w/o maintenance（不带维护电寿命） @ =1150V
V=1150&T=E&M=O,T001,NA,Electrical w/o maintenance（不带维护电寿命） @ =1150V
V=1150&T=E&M=O,T002,NA,Electrical w/o maintenance（不带维护电寿命） @ =1150V
V=1150&T=E&M=O,T003,NA,Electrical w/o maintenance（不带维护电寿命） @ =1150V
V=1150&T=E&M=O,T004,NA,Electrical w/o maintenance（不带维护电寿命） @ =1150V
V=1150&T=E&M=W,L001,NA,Electrical with maintenance（带维护电寿命） @ =1150V
V=1150&T=E&M=W,L002,NA,Electrical with maintenance（带维护电寿命） @ =1150V
V=1150&T=E&M=W,L003,15000,Electrical with maintenance（带维护电寿命） @ =1150V
V=1150&T=E&M=W,L004,NA,Electrical with maintenance（带维护电寿命） @ =1150V
V=1150&T=E&M=W,L005,NA,Electrical with maintenance（带维护电寿命） @ =1150V
