ID_Number_Seal,Production_Order,SAP_NO,MLFB,PRODUCT_TYPE,OPENING_TIME_NOM,CLOSING_TIME_NOM,BREAKER_LIFE_TYPE_ID,CREATE_DATE
000491200911056,000150621139,0075200623,3WL11162FG365FA2ZR10R16R21R55T40,3WL1,82.57,52.16,L001,2000-09-11 00:00:00.000
000491200911060,000150620935,0075199661,3WL12253EB361EE2ZA10A20F02M03M24S01R21,3WL1,83.00,50.00,L007,2000-09-11 00:00:00.000
000491200911063,000150621139,0075200623,3WL11162FG365FA2ZR10R16R21R55T40,3WL1,80.03,52.56,L001,2000-09-11 00:00:00.000
000491200911065,000150620935,0075199661,3WL12253EB361EE2ZA10A20F02M03M24S01R21,3WL1,72.95,48.56,L007,2000-09-11 00:00:00.000
000491210213000,111010213000,0075000000,3WL12204DG464GN2ZC22K07K01,3WL1,84.95,52.53,L007,2001-02-13 00:00:00.000
000491210214000,111010214000,0075000000,3WL11102CB361GA2,3WL1,0.00,46.67,L001,2001-02-14 00:00:00.000
000491210215000,111010214001,0075000000,3WL12204DG474GA2,3WL1,81.10,53.80,L007,2001-02-15 00:00:00.000
000491210216000,111010215001,0075000000,3WL12324DG464GN2ZC22K01K07,3WL1,81.65,52.07,L009,2001-02-16 00:00:00.000
000491210220000,111010215002,0075000000,3WL12254DG464GA2,3WL1,82.10,56.20,L007,2001-02-20 00:00:00.000
000491210226000,111010226001,0075000000,3WL12324DG474GA2,3WL1,85.67,52.00,L009,2001-02-26 00:00:00.000
000491210226001,111010226002,1234567899,3WL11102AA361AA2,3WL1,0.00,0.00,L001,2001-02-26 00:00:00.000
000491210226002,111010226003,1234567899,3WL12202AA361AA2,3WL1,0.00,0.00,L007,2001-02-26 00:00:00.000
000491210227000,111010227001,1234567899,3WL12203CB361AA2,3WL1,0.00,0.00,L007,2001-02-27 00:00:00.000
000491210228000,111010228001,1234567899,3WL11162AA384GA2,3WL1,79.83,54.40,L001,2001-02-28 00:00:00.000
000491210228001,111010228002,1234567899,3WL12083AA374BA2,3WL1,80.73,52.27,L007,2001-02-28 00:00:00.000
000491210302000,111010302001,1234567899,3WL12203AA384GA2ZA20,3WL1,81.53,53.07,L007,2001-03-02 00:00:00.000
000491210302001,111010302001,1234567899,3WL12203AA384GA2ZA20,3WL1,79.57,55.67,L007,2001-03-02 00:00:00.000
000491210303000,111010302001,1234567899,3WL12203AA384GA2ZA20,3WL1,80.60,52.53,L007,2001-03-03 00:00:00.000
000491210303001,111010304001,1234567899,3WL12323AA384GA2ZA20,3WL1,85.80,56.40,L009,2001-03-03 00:00:00.000
000491210306001,111010306001,1234567899,3WL11062AA364BB2,3WL1,83.47,55.87,L001,2001-03-06 00:00:00.000
000491210306002,111010306001,1234567899,3WL11062AA364BB2,3WL1,85.13,59.27,L001,2001-03-06 00:00:00.000
000491210307000,111010306001,1234567899,3WL11062AA364BB2,3WL1,87.77,58.13,L001,2001-03-07 00:00:00.000
000491210308000,111010307001,1234567899,3WL11162CB321AA2,3WL1,0.00,0.00,L001,2001-03-08 00:00:00.000
000491210308001,111010308001,1234567899,3WL11062AA321AA2,3WL1,0.00,0.00,L001,2001-03-08 00:00:00.000
000491210308002,111010308001,1234567899,3WL11062AA321AA2,3WL1,0.00,0.00,L001,2001-03-08 00:00:00.000
000491210309000,111010308001,1234567899,3WL11062AA321AA2,3WL1,0.00,0.00,L001,2001-03-09 00:00:00.000
000491210309001,111010308001,1234567899,3WL11062AA321AA2,3WL1,0.00,0.00,L001,2001-03-09 00:00:00.000
000491210312000,111010312001,1234567890,3WL12324DG454GA2,3WL1,87.10,52.13,L009,2001-03-12 00:00:00.000
000491210312001,111010312002,1234567890,3WL12324DG464GA2,3WL1,86.67,53.13,L009,2001-03-12 00:00:00.000
000491210313000,111010313002,1234567890,3WL12324CB374GA2ZA05,3WL1,0.00,0.00,L009,2001-03-13 00:00:00.000
000491210313001,111010313000,1234567890,3WL12204DG452GA2,3WL1,81.80,56.73,L007,2001-03-13 00:00:00.000
000491210314000,111010314000,1234567890,3WL12324DG452GA2,3WL1,85.10,56.53,L009,2001-03-14 00:00:00.000
000491210314001,111010314001,1234567890,3WL12254DG452GA2,3WL1,88.63,57.33,L007,2001-03-14 00:00:00.000
000491210314002,111010314002,1234567890,3WL12324DG464GA2ZA05,3WL1,0.00,0.00,L009,2001-03-14 00:00:00.000
000491210314003,111010314003,1234567890,3WL12324DG452GA2,3WL1,85.77,56.20,L009,2001-03-14 00:00:00.000
000491210315000,111010315000,1234567890,3WL12204DG452GA2,3WL1,77.83,58.53,L007,2001-03-15 00:00:00.000
000491210315001,111010315001,1234567890,3WL12254DG464GA2,3WL1,0.00,0.00,L007,2001-03-15 00:00:00.000
000491210316000,111010315003,1234567890,3WL12324DG454GA2,3WL1,85.00,52.07,L009,2001-03-16 00:00:00.000
000491210316001,111010315002,1234567890,3WL12204DG454BA2,3WL1,0.00,0.00,L007,2001-03-16 00:00:00.000
000491210316002,111010315001,1234567890,3WL12254DG464GA2,3WL1,84.67,54.73,L007,2001-03-16 00:00:00.000
000491210316003,111010316000,1234567890,3WL12204DG454GA2,3WL1,0.00,0.00,L007,2001-03-16 00:00:00.000
000491210319000,111010319000,1234567890,3WL12324DG452GA2,3WL1,87.93,55.60,L009,2001-03-19 00:00:00.000
000491210319001,111010319001,1234567890,3WL12324DG464GA2,3WL1,84.40,53.00,L009,2001-03-19 00:00:00.000
000491210319002,111010319000,1234567890,3WL12324DG452GA2,3WL1,77.83,54.20,L009,2001-03-19 00:00:00.000
000491210320000,111010226001,0075000000,3WL12324DG474GA2,3WL1,83.20,56.27,L009,2001-03-20 00:00:00.000
000491210321000,111010321001,1234567899,3WL11102CB361AA2ZA30,3WL1,0.00,0.00,L001,2001-03-21 00:00:00.000
000491210321001,111010321001,1234567899,3WL11102CB361AA2ZA30,3WL1,0.00,0.00,L001,2001-03-21 00:00:00.000
000491210323000,111010321001,1234567899,3WL11102CB361AA2ZA30,3WL1,0.00,0.00,L001,2001-03-23 00:00:00.000
000491210323001,111010321001,1234567899,3WL11102CB361AA2ZA30,3WL1,0.00,0.00,L001,2001-03-23 00:00:00.000
000491210326000,111010321001,1234567899,3WL11102CB361AA2ZA30,3WL1,0.00,0.00,L001,2001-03-26 00:00:00.000
000491210326001,111010323001,1234567899,3WL11163AA361AA2ZA30,3WL1,0.00,0.00,L001,2001-03-26 00:00:00.000
000491210326002,111010323001,1234567899,3WL11163AA361AA2ZA30,3WL1,0.00,0.00,L001,2001-03-26 00:00:00.000
000491210326003,111010323001,1234567899,3WL11163AA361AA2ZA30,3WL1,0.00,0.00,L001,2001-03-26 00:00:00.000
000491210327000,111010327001,1234567899,3WL11062AA384BB4ZA30,3WL1,76.17,56.27,L001,2001-03-27 00:00:00.000
000491210328000,111010328001,0001234567,3WL12204DG464GN2ZC22K07K01,3WL1,0.00,0.00,L007,2001-03-28 00:00:00.000
000491210328001,111010328002,1234567899,3WL12204DG464GN2ZC22K01,3WL1,81.22,51.20,L007,2001-03-28 00:00:00.000
000491210329000,111010329001,1234567899,3WL11163DG364GN2,3WL1,0.00,0.00,L001,2001-03-29 00:00:00.000
000491210329001,111010323001,1234567899,3WL11163AA361AA2ZA30,3WL1,0.00,0.00,L001,2001-03-29 00:00:00.000
000491210329002,111010329002,1234567899,3WL12324DG474GA2,3WL1,88.17,55.07,L009,2001-03-29 00:00:00.000
000491210329003,111010329002,1234567899,3WL12324DG474GA2,3WL1,0.00,0.00,L009,2001-03-29 00:00:00.000
000491210330000,111010329003,1234567899,3WL11062AA321AA2ZA30,3WL1,0.00,0.00,L001,2001-03-30 00:00:00.000
000491210330001,111010330000,1234567899,3WL11062AA361AA2ZA30,3WL1,0.00,0.00,L001,2001-03-30 00:00:00.000
000491210331000,111010329003,1234567899,3WL11062AA321AA2ZA30,3WL1,0.00,0.00,L001,2001-03-31 00:00:00.000
000491210331001,111010329003,1234567899,3WL11062AA321AA2ZA30,3WL1,0.00,0.00,L001,2001-03-31 00:00:00.000
000491210331002,111010329003,1234567899,3WL11062AA321AA2ZA30,3WL1,0.00,0.00,L001,2001-03-31 00:00:00.000
000491210331003,111010329003,1234567899,3WL11062AA321AA2ZA30,3WL1,0.00,0.00,L001,2001-03-31 00:00:00.000
000491210402000,111010330000,1234567899,3WL11062AA361AA2ZA30,3WL1,0.00,0.00,L001,2001-04-02 00:00:00.000
000491210402001,111010330000,1234567899,3WL11062AA361AA2ZA30,3WL1,0.00,0.00,L001,2001-04-02 00:00:00.000
000491210403000,111010330000,1234567899,3WL11062AA361AA2ZA30,3WL1,0.00,0.00,L001,2001-04-03 00:00:00.000
000491210403001,111010330000,1234567899,3WL11062AA361AA2ZA30,3WL1,0.00,0.00,L001,2001-04-03 00:00:00.000
000491210403002,111010403001,1234567899,3WL12324AA321AA2ZA30,3WL1,0.00,0.00,L009,2001-04-03 00:00:00.000
000491210403003,111010403002,1234567899,3WL11163AA321AA2ZA30,3WL1,0.00,0.00,L001,2001-04-03 00:00:00.000
