id,altitude,create_date,cust_name,data_time,has_health1,latitude,life_type,longitude,mlfb,serial_no,standard_close_time,standard_open_time,type,userame,health_data2_barcode_id,health_data1_id,health_data2_id,life_data_id,life_data_input_id,lang,call_id,env_id,loc_id,openId
1,0,2009-11-17 00:00:00.0000000,test001,2018-05-08 07:11:21.1340000,1,31.29579,L007,120.57186,3WL12252CB364GS4ZR21T40,7202291117005,82.91,53.18,3WL1,我,1,2,3,4,5,NULL,NULL,NULL,NULL,NULL
3,0,2009-11-17 00:00:00.0000000,test001,2018-05-08 10:56:30.5020000,1,31.3092,L007,120.52871,3WL12252CB364GS4ZR21T40,7202291117005,82.91,53.18,3WL1,铭,21,22,23,24,25,NULL,NULL,NULL,NULL,NULL
4,0,2009-11-17 00:00:00.0000000,test001,2018-05-08 10:57:57.6500000,1,31.3092,L007,120.5288,3WL12252CB364GS4ZR21T40,7202291117005,82.91,53.18,3WL1,罡罡的,26,27,28,29,30,NULL,NULL,NULL,NULL,NULL
5,0,2009-11-17 00:00:00.0000000,test001,2018-05-08 10:58:51.1270000,1,31.3092,L007,120.5288,3WL12252CB364GS4ZR21T40,7202291117005,82.91,53.18,3WL1,罡罡的,31,32,33,34,35,NULL,NULL,NULL,NULL,NULL
6,0,2009-05-13 00:00:00.0000000,????,2018-05-08 12:50:18.5740000,1,0,L007,0,3WL12163EG464GA4ZC20F23K07R15R21T40,7202290513044,80.19,55.82,3WL1,雷锋,36,37,38,39,40,NULL,NULL,NULL,NULL,NULL
7,0,2009-05-13 00:00:00.0000000,????,2018-05-08 12:50:20.3600000,1,0,L007,0,3WL12163EG464GA4ZC20F23K07R15R21T40,7202290513044,80.19,55.82,3WL1,雷锋,41,42,43,44,45,NULL,NULL,NULL,NULL,NULL
8,0,2009-05-13 00:00:00.0000000,????,2018-05-08 13:53:56.6630000,1,29.990343,L007,121.65956,3WL12163EG464GA4ZC20F23K07R15R21T40,7202290513047,75.87,53.82,3WL1,雷锋,46,47,48,49,50,NULL,NULL,NULL,NULL,NULL
9,0,2009-05-13 00:00:00.0000000,????,2018-05-08 13:53:58.0160000,1,29.990343,L007,121.65956,3WL12163EG464GA4ZC20F23K07R15R21T40,7202290513047,75.87,53.82,3WL1,雷锋,51,52,53,54,55,NULL,NULL,NULL,NULL,NULL
10,0,2009-05-13 00:00:00.0000000,????,2018-05-08 13:53:58.4250000,1,29.990343,L007,121.65956,3WL12163EG464GA4ZC20F23K07R15R21T40,7202290513047,75.87,53.82,3WL1,雷锋,56,57,58,59,60,NULL,NULL,NULL,NULL,NULL
11,0,2009-05-13 00:00:00.0000000,????,2018-05-08 13:53:59.0210000,1,29.990343,L007,121.65956,3WL12163EG464GA4ZC20F23K07R15R21T40,7202290513047,75.87,53.82,3WL1,雷锋,61,62,63,64,65,NULL,NULL,NULL,NULL,NULL
12,0,2009-05-13 00:00:00.0000000,????,2018-05-08 13:56:49.2750000,1,29.990343,L007,121.65956,3WL12163EG464GA4ZC20F23K07R15R21T40,7202290513047,75.87,53.82,3WL1,雷锋,66,67,68,69,70,NULL,NULL,NULL,NULL,NULL
13,0,2009-05-13 00:00:00.0000000,????,2018-05-08 13:56:49.5740000,1,29.990343,L007,121.65956,3WL12163EG464GA4ZC20F23K07R15R21T40,7202290513047,75.87,53.82,3WL1,雷锋,71,72,73,74,75,NULL,NULL,NULL,NULL,NULL
