id,cloud,cond_code,cond_txt,fl,hum,pcpn,pres,tmp,vis,wind_deg,wind_dir,wind_sc,wind_spd
131,3,101,多云,38,45,0.0,1004,36,17,182,南风,3,13
133,3,101,多云,38,45,0.0,1004,36,17,182,南风,3,13
135,5,101,多云,36,41,0.0,1003,36,17,258,西南风,3,18
137,5,101,多云,36,41,0.0,1003,36,17,258,西南风,3,18
141,5,101,多云,36,41,0.0,1003,36,17,258,西南风,3,18
146,5,101,多云,36,41,0.0,1003,36,17,258,西南风,3,18
153,5,101,多云,36,41,0.0,1003,36,17,258,西南风,3,18
161,35,104,阴,28,75,0.0,1002,26,18,355,北风,2,6
168,35,104,阴,28,75,0.0,1002,26,18,355,北风,2,6
174,35,104,阴,28,75,0.0,1002,26,18,355,北风,2,6
180,35,104,阴,28,75,0.0,1002,26,18,355,北风,2,6
186,35,104,阴,28,75,0.0,1002,26,18,355,北风,2,6
192,35,104,阴,28,75,0.0,1002,26,18,355,北风,2,6
194,35,104,阴,28,75,0.0,1002,26,18,355,北风,2,6
200,35,104,阴,28,75,0.0,1002,26,18,355,北风,2,6
206,60,104,阴,28,68,0.0,1003,27,18,299,西北风,3,15
212,60,104,阴,28,68,0.0,1003,27,18,299,西北风,3,15
218,60,104,阴,28,68,0.0,1003,27,18,299,西北风,3,15
224,60,104,阴,28,68,0.0,1003,27,18,299,西北风,3,15
230,60,104,阴,28,68,0.0,1003,27,18,299,西北风,3,15
236,60,104,阴,28,68,0.0,1003,27,18,299,西北风,3,15
242,60,104,阴,28,68,0.0,1003,27,18,299,西北风,3,15
248,60,104,阴,28,68,0.0,1003,27,18,299,西北风,3,15
256,60,104,阴,28,68,0.0,1003,27,18,299,西北风,3,15
260,60,104,阴,28,68,0.0,1003,27,18,299,西北风,3,15
264,60,104,阴,28,68,0.0,1003,27,18,299,西北风,3,15
266,60,104,阴,28,68,0.0,1003,27,18,299,西北风,3,15
268,86,104,阴,29,67,0.0,1003,28,17,281,西风,2,11
270,86,104,阴,29,67,0.0,1003,28,17,281,西风,2,11
272,86,104,阴,29,67,0.0,1003,28,17,281,西风,2,11
274,86,104,阴,29,67,0.0,1003,28,17,281,西风,2,11
276,86,104,阴,29,67,0.0,1003,28,17,281,西风,2,11
