id,c_val,h_val,o_val,t_val
1,86.3,79.3,18.25,-34.5
11,86.3,79.3,18.25,-34.5
21,67.05,68.6,55.3,-25.3
26,67.05,68.6,55.3,-25.3
31,67.05,68.6,55.3,-25.3
36,83.09,52.5,60,26.4
41,83.09,52.5,60,26.4
46,80.62,58.1,58.03,25.4
51,80.62,58.1,58.03,25.4
56,80.62,58.1,58.03,25.4
61,80.62,58.1,58.03,25.4
66,80.62,58.1,58.03,25.4
71,80.62,58.1,58.03,25.4
76,80.62,58.1,58.03,25.4
91,83.31,63.5,56.48,25.6
96,83.31,63.5,56.48,25.6
101,83.73,54.6,60.52,25.8
106,83.73,54.6,60.52,25.8
111,90.45,52,56.95,25.1
116,69.82,56.5,53.59,22.8
121,69.82,56.5,53.59,22.8
151,86.3,79.3,18.25,-34.5
158,86.3,79.3,18.25,-34.5
166,86.3,79.3,18.25,-34.5
253,86.3,79.3,18.25,-34.5
335,86.3,79.3,18.25,-34.5
387,86.3,79.3,18.25,-34.5
390,86.3,79.3,18.25,-34.5
397,86.3,79.3,18.25,-34.5
425,86.3,79.3,18.25,-34.5
514,69.82,70,22.59,22.8
524,86.3,79.3,18.25,-34.5
534,86.3,79.3,18.25,-34.5
536,86.3,79.3,18.25,-34.5
538,86.3,79.3,18.25,-34.5
540,86.3,79.3,18.25,-34.5
542,86.3,79.3,18.25,-34.5
544,86.3,79.3,18.25,-34.5
546,86.3,79.3,18.25,-34.5
548,86.3,79.3,18.25,-34.5
550,86.3,79.3,18.25,-34.5
552,86.3,79.3,18.25,-34.5
554,86.3,79.3,18.25,-34.5
556,86.3,79.3,18.25,-34.5
580,69.82,70,22.59,22.8
587,86.3,79.3,18.25,-34.5
595,86.3,79.3,18.25,-34.5
624,69.82,56.5,53.59,22.8
669,67.05,68.6,55.3,-25.3
673,67.05,68.6,55.3,-25.3
684,86.3,79.3,18.25,-34.5
829,90.68,74.1,0,30.7
838,86.37,73.7,66.3,30.2
858,84.6,61.9,58.87,36.6
865,82.1,59.5,54.27,33.4
1037,69.82,56.5,53.59,22.8
1046,84.34,56.3,55.22,34.9
1055,69.82,56.5,53.59,22.8
1079,69.82,56.5,53.59,22.8
1092,83.64,58.6,55.56,27.3
1107,81.4,58.6,58.12,27.2
1139,72.52,53.6,56.32,25.5
1141,72.52,53.6,56.32,-25.5
1143,72.52,53.6,56.32,25.5
1147,72.52,53.6,56.32,25.5
1149,72.52,53.6,56.32,25.5
1151,72.52,53.6,56.32,25.5
1153,72.52,53.6,56.32,25.5
1155,172.52,53.6,56.32,25.5
1157,172.52,53.6,156.32,25.5
1159,172.52,53.6,176.32,25.5
1161,172.52,100,176.32,25.5
1163,172.52,100,176.32,-25.5
1165,72.52,99,76.32,70.5
1167,72.52,99,76.32,70.5
1169,72.52,99,76.32,70
1171,72.52,99,76.32,70
1173,72.52,99,76.32,70.1
1175,30,99,76.32,70.1
1177,30,99,76.32,70.1
1179,30,50,76.32,25.5
1181,20,50,20.02,25.5
1183,15,50,12,25.5
1185,20,50,20,25.5
1187,20.01,50,20.01,25.5
1189,30,50,25,25.5
1191,30.01,50,25.01,25.5
1193,100,50,100,25.5
1195,160,50,140,25.5
1197,160.01,50,140.01,25.5
1199,200,50,200,25.5
1201,200.01,50,200.01,25.5
1203,200.01,50,220.01,25.5
1205,20.01,50,20.01,25.5
1207,22.01,50,22.01,25.5
1282,69.82,56.5,53.59,22.8
1289,67.05,68.6,55.3,-25.3
1304,69.82,56.5,53.59,22.8
1334,69.82,56.5,53.59,22.8
1361,75.06,58.2,65.34,-25.3
1375,75.06,58.2,65.34,-25.3
1694,86.3,79.3,18.25,-34.5
1726,69.82,70,22.59,22.8
1777,69.82,70,22.59,22.8
1779,69.82,70,22.59,22.8
1781,69.82,70,22.59,22.8
1784,69.82,70,22.59,22.8
1786,69.82,70,22.59,22.8
1788,69.82,70,22.59,22.8
1790,69.82,70,22.59,22.8
2268,86.3,79.3,18.25,-34.5
2279,86.3,79.3,18.25,-34.5
2287,86.3,79.3,18.25,-34.5
2305,86.3,79.3,18.25,-34.5
2314,86.3,79.3,18.25,-34.5
2398,86.3,79.3,18.25,-34.5
2404,30,79.3,25,-34.5
2406,160.01,79.3,140.01,-34.5
2412,160.01,79.3,140.01,-34.5
2418,160.01,79.3,140.01,-34.5
2424,160.01,79.3,140.01,-34.5
2441,69.82,70,22.59,22.8
2479,160.01,79.3,140.01,-34.5
2484,160.01,79.3,140.01,-34.5
2592,160.01,79.3,140.01,-34.5
2594,160.01,79.3,140.01,-34.5
2630,69.82,56.5,53.59,22.8
2636,69.82,56.5,53.59,22.8
2638,69.82,56.5,53.59,22.8
2648,69.82,56.5,53.59,22.8
2656,69.82,56.5,53.59,22.8
2659,69.82,56.5,53.59,22.8
2662,69.82,56.5,53.59,22.8
