id,color,d2,health1color,helth_value,i1,i2,t0,t1,t2,disp_result,is_ok,is_red,tempu
2,green,0,#008000,10,33,35,25,28,28.3,NULL,NULL,NULL,NULL
12,green,0,#008000,10,38,35,35,40,39.3,NULL,NULL,NULL,NULL
22,green,0,#008000,10,1500,2000,40,60,72.7,NULL,NULL,NULL,NULL
27,red,0,#FF0000,-10,200,2000,40,70,1578.6,NULL,NULL,NULL,NULL
32,red,0,#FF0000,-10,200,2000,40,70,1578.6,NULL,NULL,NULL,NULL
37,green,0,#008000,10,96,700,27.4,28.2,51.3,NULL,NULL,NULL,NULL
42,green,0,#008000,10,96,700,27.4,28.2,51.3,NULL,NULL,NULL,NULL
47,green,0,#008000,10,1260,1200,26.9,29.2,29,NULL,NULL,NULL,NULL
52,green,0,#008000,10,1260,1200,26.9,29.2,29,NULL,NULL,NULL,NULL
57,green,0,#008000,10,1260,1200,26.9,29.2,29,NULL,NULL,NULL,NULL
62,green,0,#008000,10,1260,1200,26.9,29.2,29,NULL,NULL,NULL,NULL
67,green,0,#008000,10,1260,1200,26.9,29.2,29,NULL,NULL,NULL,NULL
72,green,0,#008000,10,1260,1200,26.9,29.2,29,NULL,NULL,NULL,NULL
77,green,0,#008000,10,1260,1200,26.9,29.2,29,NULL,NULL,NULL,NULL
92,green,0,#008000,10,1261,1250,27.4,34.2,34.1,NULL,NULL,NULL,NULL
97,green,0,#008000,10,1261,1250,27.4,34.2,34.1,NULL,NULL,NULL,NULL
102,red,0,#FF0000,-10,69,2500,27.5,31.4,1835.1,NULL,NULL,NULL,NULL
107,red,0,#FF0000,-10,69,2500,27.5,31.4,1835.1,NULL,NULL,NULL,NULL
112,green,0,#008000,10,316,700,26.2,26.8,28.5,NULL,NULL,NULL,NULL
117,red,0,#FF0000,-10,900,2200,38,58,130.2,NULL,NULL,NULL,NULL
122,red,0,#FF0000,-10,800,2500,30,70,310.7,NULL,NULL,NULL,NULL
145,green,7.1,#008000,10,55,45,45,55,52.1,success,1,0,50
150,green,4,#008000,10,40,35,55,60,59,success,1,0,45
157,green,20,#008000,10,38,45,40,55,60,success,1,0,54
165,green,2.9,#008000,10,48,35,50,55,52.9,success,1,0,50
172,green,7,#008000,10,45,55,30,35,37,success,1,0,50
178,green,8,#008000,10,40,35,45,55,53,success,1,0,45
184,green,9.2,#008000,10,35,45,44,50,53.2,success,1,0,48
190,green,3.7,#008000,10,45,38,45,50,48.7,success,1,0,40
198,green,3.4,#008000,10,44,35,45,50,48.4,success,1,0,40
204,green,-4.2,#008000,10,50,45,60,55,55.8,success,1,0,50
210,green,-3.5,#008000,10,55,45,50,45,46.5,success,1,0,50
216,green,30.7,#008000,10,35,45,40,60,70.7,success,1,0,55
222,green,-8,#008000,10,40,35,45,35,37,success,1,0,45
228,yellow,66.7,#FFFF00,0,45,350,48,50,114.7,warn,0,0,400
234,green,6.1,#008000,10,40,45,35,40,41.1,success,1,0,55
240,green,3.3,#008000,10,45,35,50,55,53.3,success,1,0,40
246,green,15.4,#008000,10,35,45,45,55,60.4,success,1,0,40
252,green,-3.3,#008000,10,45,35,40,35,36.7,success,1,0,40
258,green,-3.3,#008000,10,45,35,40,35,36.7,success,1,0,40
334,green,38.4,#008000,10,35,45,30,55,68.4,success,1,0,40
386,green,10,#008000,10,50,50,55,65,65,success,1,0,45
389,green,10,#008000,10,50,50,55,65,65,success,1,0,45
396,green,14.1,#008000,10,45,55,40,50,54.1,success,1,0,50
403,green,10,#008000,10,2000,2000,50,60,60,success,1,0,40
410,green,10,#008000,10,2000,2000,50,60,60,success,1,0,40
424,green,3.1,#008000,10,39,40,35,38,38.1,success,1,0,30
432,green,-6,#008000,10,800,1200,48,45,42,success,1,0,50
480,green,3.3,#008000,10,1500,2000,30,32,33.3,success,1,0,28
481,green,3.3,#008000,10,1500,2000,30,32,33.3,success,1,0,28
482,green,3.3,#008000,10,1500,2000,30,32,33.3,success,1,0,28
483,green,3.3,#008000,10,1500,2000,30,32,33.3,success,1,0,28
484,green,3.3,#008000,10,1500,2000,30,32,33.3,success,1,0,28
485,green,3.3,#008000,10,1500,2000,30,32,33.3,success,1,0,28
486,green,3.3,#008000,10,1500,2000,30,32,33.3,success,1,0,28
497,green,3.3,#008000,10,600,800,30,32,33.3,success,1,0,28
498,green,3.3,#008000,10,600,800,30,32,33.3,success,1,0,28
499,green,3.3,#008000,10,600,800,30,32,33.3,success,1,0,28
506,green,-7.7,#008000,10,35,45,45,40,37.3,success,1,0,40
509,green,2.9,#008000,10,800,1000,30,32,32.9,success,1,0,28
517,green,-19.5,#008000,10,30,35,45,30,25.5,success,1,0,30
518,green,-7.7,#008000,10,35,45,45,40,37.3,success,1,0,40
523,green,-3.3,#008000,10,45,35,50,45,46.7,success,1,0,40
533,green,-5.5,#008000,10,33,35,30,25,24.5,success,1,0,30
574,green,2.7,#008000,10,500,600,30,32,32.7,success,1,0,28
579,red,123.4,#FF0000,-10,700,2500,36,50,159.4,error,0,1,29
586,green,2.4,#008000,10,40,45,30,32,32.4,success,1,0,28
594,green,4.1,#008000,10,28,25,30,35,34.1,success,1,0,30
606,green,2,#008000,10,2000,2000,28,30,30,success,1,0,28
