id,c_color,has_barcode,o_color,vol1value,vol2value,disp_result,f_color,is_red,is_yellow
3,#008000,1,#FF0000,,AC230V/DC220V,NULL,NULL,NULL,NULL
13,#008000,1,#FF0000,,AC230V/DC220V,NULL,NULL,NULL,NULL
23,#008000,1,#008000,,AC230V/DC220V,NULL,NULL,NULL,NULL
28,#008000,1,#008000,,AC230V/DC220V,NULL,NULL,NULL,NULL
33,#008000,1,#008000,,AC230V/DC220V,NULL,NULL,NULL,NULL
38,#008000,1,#008000,,AC230V/DC220V,NULL,NULL,NULL,NULL
43,#008000,1,#008000,,AC230V/DC220V,NULL,NULL,NULL,NULL
48,#008000,1,#008000,,AC230V/DC220V,NULL,NULL,NULL,NULL
53,#008000,1,#008000,,AC230V/DC220V,NULL,NULL,NULL,NULL
58,#008000,1,#008000,,AC230V/DC220V,NULL,NULL,NULL,NULL
63,#008000,1,#008000,,AC230V/DC220V,NULL,NULL,NULL,NULL
68,#008000,1,#008000,,AC230V/DC220V,NULL,NULL,NULL,NULL
73,#008000,1,#008000,,AC230V/DC220V,NULL,NULL,NULL,NULL
78,#008000,1,#008000,,AC230V/DC220V,NULL,NULL,NULL,NULL
93,#008000,1,#008000,,AC230V/DC220V,NULL,NULL,NULL,NULL
98,#008000,1,#008000,,AC230V/DC220V,NULL,NULL,NULL,NULL
103,#008000,1,#008000,AC110V/DC110V,AC110V/DC110V,NULL,NULL,NULL,NULL
108,#008000,1,#008000,AC110V/DC110V,AC110V/DC110V,NULL,NULL,NULL,NULL
113,#008000,1,#008000,,AC230V/DC220V,NULL,NULL,NULL,NULL
118,#008000,1,#008000,,AC230V/DC220V,NULL,NULL,NULL,NULL
123,#008000,1,#008000,,AC230V/DC220V,NULL,NULL,NULL,NULL
152,#008000,1,#FF0000,,AC230V/DC220V,error,#FF0000,1,0
159,#008000,1,#FF0000,,AC230V/DC220V,error,#FF0000,1,0
167,#008000,1,#FF0000,,AC230V/DC220V,error,#FF0000,1,0
254,#008000,1,#FF0000,,AC230V/DC220V,error,#FF0000,1,0
336,#008000,1,#FF0000,,AC230V/DC220V,error,#FF0000,1,0
388,#008000,1,#FF0000,,AC110V/DC110V,error,#FF0000,1,0
391,#008000,1,#FF0000,,AC110V/DC110V,error,#FF0000,1,0
398,#008000,1,#FF0000,,AC110V/DC110V,error,#FF0000,1,0
426,#008000,1,#FF0000,,AC110V/DC110V,error,#FF0000,1,0
515,#008000,1,#FF0000,,AC230V/DC220V,error,#FF0000,1,0
525,#008000,1,#FF0000,,AC230V/DC220V,error,#FF0000,1,0
535,#008000,1,#FF0000,,AC230V/DC220V,error,#FF0000,1,0
537,#008000,1,#FF0000,,AC230V/DC220V,error,#FF0000,1,0
539,#008000,1,#FF0000,,AC230V/DC220V,error,#FF0000,1,0
541,#008000,1,#FF0000,,AC230V/DC220V,error,#FF0000,1,0
543,#008000,1,#FF0000,,AC230V/DC220V,error,#FF0000,1,0
545,#008000,1,#FF0000,,AC230V/DC220V,error,#FF0000,1,0
547,#008000,1,#FF0000,,AC230V/DC220V,error,#FF0000,1,0
549,#008000,1,#FF0000,,AC230V/DC220V,error,#FF0000,1,0
551,#008000,1,#FF0000,,AC230V/DC220V,error,#FF0000,1,0
553,#008000,1,#FF0000,,AC230V/DC220V,error,#FF0000,1,0
555,#008000,1,#FF0000,,AC230V/DC220V,error,#FF0000,1,0
557,#008000,1,#FF0000,,AC230V/DC220V,error,#FF0000,1,0
581,#008000,1,#FF0000,,AC230V/DC220V,error,#FF0000,1,0
588,#008000,1,#FF0000,,?,error,#FF0000,1,0
596,#008000,1,#FF0000,,AC230V/DC220V,error,#FF0000,1,0
625,#008000,1,#008000,,AC230V/DC220V,success,#008000,0,0
670,#008000,1,#008000,,AC110V/DC110V,success,#008000,0,0
674,#008000,1,#008000,,AC110V/DC110V,success,#008000,0,0
685,#008000,1,#FF0000,,DC24V,error,#FF0000,1,0
830,#008000,1,#FF0000,,AC230V/DC220V,error,#FF0000,1,0
839,#008000,1,#008000,,AC230V/DC220V,success,#008000,0,0
859,#008000,1,#008000,,AC230V/DC220V,success,#008000,0,0
866,#008000,1,#008000,,AC230V/DC220V,success,#008000,0,0
1038,#008000,1,#008000,,AC230V/DC220V,success,#008000,0,0
1047,#008000,1,#008000,,AC230V/DC220V,success,#008000,0,0
1056,#008000,1,#008000,,AC230V/DC220V,success,#008000,0,0
1080,#008000,1,#008000,,AC230V/DC220V,success,#008000,0,0
1093,#008000,1,#008000,,AC230V/DC220V,success,#008000,0,0
1108,#008000,1,#008000,,AC230V/DC220V,success,#008000,0,0
1140,#008000,1,#008000,,AC230V/DC220V,success,#008000,0,0
1142,#008000,1,#008000,,AC230V/DC220V,success,#008000,0,0
1144,#008000,1,#008000,,AC230V/DC220V,success,#008000,0,0
1148,#008000,1,#008000,,AC230V/DC220V,success,#008000,0,0
1150,#008000,1,#008000,,AC230V/DC220V,success,#008000,0,0
1152,#008000,1,#008000,,AC230V/DC220V,success,#008000,0,0
1154,#008000,1,#008000,,AC230V/DC220V,success,#008000,0,0
1156,#FFFF00,1,#008000,,AC230V/DC220V,warn,#FFFF00,0,1
1158,#FFFF00,1,#FF0000,,AC230V/DC220V,error,#FF0000,1,0
1160,#FFFF00,1,#FF0000,,AC230V/DC220V,error,#FF0000,1,0
1162,#FFFF00,1,#FF0000,,AC230V/DC220V,error,#FF0000,1,0
1164,#FFFF00,1,#FF0000,,AC230V/DC220V,error,#FF0000,1,0
1166,#008000,1,#008000,,AC230V/DC220V,success,#008000,0,0
1168,#008000,1,#008000,,AC230V/DC220V,success,#008000,0,0
1170,#008000,1,#008000,,AC230V/DC220V,success,#008000,0,0
1172,#008000,1,#008000,,AC230V/DC220V,success,#008000,0,0
1174,#008000,1,#008000,,AC230V/DC220V,success,#008000,0,0
1176,#008000,1,#008000,,AC230V/DC220V,success,#008000,0,0
1178,#008000,1,#008000,,AC230V/DC220V,success,#008000,0,0
1180,#008000,1,#008000,,AC230V/DC220V,success,#008000,0,0
1182,#FFFF00,1,#FF0000,,AC230V/DC220V,error,#FF0000,1,0
1184,#FF0000,1,#FF0000,,AC230V/DC220V,error,#FF0000,1,0
1186,#FFFF00,1,#FF0000,,AC230V/DC220V,error,#FF0000,1,0
1188,#FFFF00,1,#FF0000,,AC230V/DC220V,error,#FF0000,1,0
