id,disp_life2,life1,life1color,life2,life2color,next_maintenance_date,opm_color,proposal,used_color,used_year,disp_result,is_red
4,0,46.67,#90EE90,73.33,#006400,2021-11-05 00:00:00.0000000,#006400,1,#90EE90,8,NULL,NULL
14,0,33.33,#90EE90,66.67,#006400,2020-11-05 00:00:00.0000000,#006400,1,#90EE90,8,NULL,NULL
24,0,33.33,#90EE90,66.67,#006400,2019-08-07 00:00:00.0000000,#006400,1,#90EE90,8,NULL,NULL
29,1,13.33,#FFFF00,56.67,#006400,2019-04-04 00:00:00.0000000,#006400,1,#90EE90,8,NULL,NULL
34,1,13.33,#FFFF00,56.67,#006400,2019-04-04 00:00:00.0000000,#006400,1,#90EE90,8,NULL,NULL
39,0,97.07,#006400,98.53,#006400,2034-05-13 00:00:00.0000000,#006400,1,#90EE90,8.5,NULL,NULL
44,0,97.07,#006400,98.53,#006400,2034-05-13 00:00:00.0000000,#006400,1,#90EE90,8.5,NULL,NULL
49,0,98.67,#006400,99.33,#006400,2034-05-13 00:00:00.0000000,#006400,1,#90EE90,8.5,NULL,NULL
54,0,98.67,#006400,99.33,#006400,2034-05-13 00:00:00.0000000,#006400,1,#90EE90,8.5,NULL,NULL
59,0,98.67,#006400,99.33,#006400,2034-05-13 00:00:00.0000000,#006400,1,#90EE90,8.5,NULL,NULL
64,0,98.67,#006400,99.33,#006400,2034-05-13 00:00:00.0000000,#006400,1,#90EE90,8.5,NULL,NULL
69,0,98.67,#006400,99.33,#006400,2034-05-13 00:00:00.0000000,#006400,1,#90EE90,8.5,NULL,NULL
74,0,98.67,#006400,99.33,#006400,2034-05-13 00:00:00.0000000,#006400,1,#90EE90,8.5,NULL,NULL
79,0,98.67,#006400,99.33,#006400,2034-05-13 00:00:00.0000000,#006400,1,#90EE90,8.5,NULL,NULL
94,0,98.53,#006400,99.27,#006400,2034-05-13 00:00:00.0000000,#006400,1,#90EE90,8.5,NULL,NULL
99,0,98.53,#006400,99.27,#006400,2034-05-13 00:00:00.0000000,#006400,1,#90EE90,8.5,NULL,NULL
104,0,99.2,#006400,99.6,#006400,2034-05-16 00:00:00.0000000,#006400,1,#90EE90,8.5,NULL,NULL
109,0,99.2,#006400,99.6,#006400,2034-05-16 00:00:00.0000000,#006400,1,#90EE90,8.5,NULL,NULL
114,0,98.76,#006400,99.38,#006400,2033-07-15 00:00:00.0000000,#006400,1,#90EE90,9.3,NULL,NULL
119,1,13.33,#FFFF00,56.67,#006400,2019-06-19 00:00:00.0000000,#006400,0,#006400,3,NULL,NULL
124,1,13.33,#FFFF00,56.67,#006400,2019-04-06 00:00:00.0000000,#006400,1,#90EE90,9,NULL,NULL
139,0,40,#90EE90,70,#006400,2018-05-16 16:11:22.2080000,#90EE90,1,#90EE90,8,success,0
143,0,38.67,#90EE90,69.33,#006400,2018-05-16 16:31:24.8860000,#90EE90,1,#90EE90,8,success,0
148,0,40,#90EE90,70,#006400,2018-05-16 16:33:34.0760000,#90EE90,1,#90EE90,8,success,0
155,0,93.33,#006400,96.67,#006400,2018-05-16 16:38:53.0060000,#90EE90,1,#90EE90,8,success,0
163,0,33.33,#90EE90,66.67,#006400,2018-05-17 07:16:22.7120000,#90EE90,1,#90EE90,8,success,0
170,0,40,#90EE90,70,#006400,2018-05-17 07:22:26.7830000,#90EE90,1,#90EE90,8,success,0
176,0,94,#006400,97,#006400,2018-05-17 07:23:56.9280000,#90EE90,1,#90EE90,8,success,0
182,0,40,#90EE90,70,#006400,2018-05-17 07:27:10.3560000,#90EE90,1,#90EE90,8,success,0
188,0,99.4,#006400,99.7,#006400,2018-05-17 07:28:08.3590000,#90EE90,1,#90EE90,8,success,0
196,0,99.4,#006400,99.7,#006400,2018-05-17 07:36:16.4060000,#90EE90,1,#90EE90,8,success,0
202,0,46.67,#90EE90,73.33,#006400,2018-05-17 07:37:49.2470000,#90EE90,1,#90EE90,8,success,0
208,0,94,#006400,97,#006400,2018-05-17 07:56:10.8220000,#90EE90,1,#90EE90,8,success,0
214,0,40,#90EE90,70,#006400,2018-05-17 07:59:20.8370000,#90EE90,1,#90EE90,8,success,0
220,0,40,#90EE90,70,#006400,2018-05-17 08:01:05.8790000,#90EE90,1,#90EE90,8,success,0
226,0,40,#90EE90,70,#006400,2018-05-17 08:08:39.8390000,#90EE90,1,#90EE90,8,success,0
232,0,40,#90EE90,70,#006400,2018-05-17 08:10:51.8190000,#90EE90,1,#90EE90,8,success,0
238,0,33.33,#90EE90,66.67,#006400,2018-05-17 08:12:21.2920000,#90EE90,1,#90EE90,8,success,0
244,0,40,#90EE90,70,#006400,2018-05-17 08:13:27.2910000,#90EE90,1,#90EE90,8,success,0
250,0,40,#90EE90,70,#006400,2018-05-17 08:14:47.7890000,#90EE90,1,#90EE90,8,success,0
262,0,46.67,#90EE90,73.33,#006400,2018-05-17 08:49:29.6580000,#90EE90,1,#90EE90,8,success,0
298,0,94,#006400,97,#006400,2018-05-17 09:10:17.7800000,#90EE90,1,#90EE90,8,success,0
302,0,40,#90EE90,70,#006400,2018-05-17 09:13:01.9690000,#90EE90,1,#90EE90,8,success,0
306,0,40,#90EE90,70,#006400,2018-05-17 09:16:14.0860000,#90EE90,1,#90EE90,8,success,0
310,0,33.33,#90EE90,66.67,#006400,2018-05-17 09:17:50.4420000,#90EE90,1,#90EE90,8,success,0
314,0,99.33,#006400,99.67,#006400,2018-05-17 09:20:06.6940000,#90EE90,1,#90EE90,8,success,0
318,0,40,#90EE90,70,#006400,2018-05-17 09:22:11.7950000,#90EE90,1,#90EE90,8,success,0
322,0,40,#90EE90,70,#006400,2018-05-17 09:35:06.9810000,#90EE90,1,#90EE90,8,success,0
330,0,40,#90EE90,70,#006400,2018-05-17 09:53:59.2120000,#90EE90,1,#90EE90,8,success,0
332,0,40,#90EE90,70,#006400,2018-05-17 09:54:37.6060000,#90EE90,1,#90EE90,8,success,0
376,0,95,#006400,97.5,#006400,2018-05-17 11:24:21.3730000,#90EE90,2,#FFFF00,16.8,success,0
384,0,55,#006400,77.5,#006400,2018-05-17 14:06:10.4210000,#90EE90,2,#FFFF00,17.2,success,0
394,0,55,#006400,77.5,#006400,2018-05-17 14:34:31.0680000,#90EE90,2,#FFFF00,17.2,success,0
401,0,86.67,#006400,93.33,#006400,2018-05-17 17:32:42.4490000,#90EE90,1,#90EE90,8,success,0
