id,breakin_use,change_arc_or_contact,count_number,has_data,opt_year,with_load
5,2010-05-17 00:00:00.0000000,0,4000,1,1000,1
15,2010-05-17 00:00:00.0000000,0,5000,1,1000,1
25,2010-05-17 00:00:00.0000000,0,5000,1,2000,1
30,2010-05-17 00:00:00.0000000,0,6500,1,1100,1
35,2010-05-17 00:00:00.0000000,0,6500,1,1100,1
40,2009-11-13 00:00:00.0000000,0,220,1,20,1
45,2009-11-13 00:00:00.0000000,0,220,1,20,1
50,2009-11-13 00:00:00.0000000,0,100,1,10,1
55,2009-11-13 00:00:00.0000000,0,100,1,10,1
60,2009-11-13 00:00:00.0000000,0,100,1,10,1
65,2009-11-13 00:00:00.0000000,0,100,1,10,1
70,2009-11-13 00:00:00.0000000,0,100,1,10,1
75,2009-11-13 00:00:00.0000000,0,100,1,10,1
80,2009-11-13 00:00:00.0000000,0,100,1,10,1
95,2009-11-13 00:00:00.0000000,0,110,1,10,1
100,2009-11-13 00:00:00.0000000,0,110,1,10,1
105,2009-11-13 00:00:00.0000000,0,60,1,6,1
110,2009-11-13 00:00:00.0000000,0,60,1,6,1
115,2009-01-15 00:00:00.0000000,0,93,1,10,1
120,2015-05-10 00:00:00.0000000,0,6500,1,900,1
125,2009-05-17 00:00:00.0000000,0,6500,1,1100,1
140,2010-05-17 00:00:00.0000000,0,4500,1,450,1
144,2010-05-17 00:00:00.0000000,0,4600,1,56,1
149,2010-05-17 00:00:00.0000000,0,4500,1,450,1
156,2010-05-17 00:00:00.0000000,0,500,1,50,1
164,2010-05-17 00:00:00.0000000,0,5000,1,400,1
171,2010-05-17 00:00:00.0000000,0,4500,1,450,1
177,2010-05-17 00:00:00.0000000,0,450,1,500,1
183,2010-05-17 00:00:00.0000000,0,4500,1,450,1
189,2010-05-17 00:00:00.0000000,0,45,1,10,1
197,2010-05-17 00:00:00.0000000,0,45,1,55,1
203,2010-05-17 00:00:00.0000000,0,4000,1,300,1
209,2010-05-17 00:00:00.0000000,0,450,1,500,1
215,2010-05-17 00:00:00.0000000,0,4500,1,450,1
221,2010-05-17 00:00:00.0000000,0,4500,1,400,1
227,2010-05-17 00:00:00.0000000,0,4500,1,450,1
233,2010-05-17 00:00:00.0000000,0,4500,1,500,1
239,2010-05-17 00:00:00.0000000,0,5000,1,400,1
245,2010-05-17 00:00:00.0000000,0,4500,1,500,1
251,2010-05-17 00:00:00.0000000,0,4500,1,450,1
